schema_version,id,benchmark,task_type,split,input,output,reasoning,metadata
2,retail-17,tau3-retail,tool_workflow,development,data/cases/retail-17.json,"{""actions"":[{""action_id"":""17_0"",""arguments"":{""first_name"":""Fatima"",""last_name"":""Johnson"",""zip"":""78712""},""info"":null,""name"":""find_user_id_by_name_zip""},{""action_id"":""17_1"",""arguments"":{""user_id"":""fatima_johnson_7581""},""info"":null,""name"":""get_user_details""},{""action_id"":""17_2"",""arguments"":{""order_id"":""#W5199551""},""info"":null,""name"":""get_order_details""},{""action_id"":""17_3"",""arguments"":{""order_id"":""#W8665881""},""info"":null,""name"":""get_order_details""},{""action_id"":""17_4"",""arguments"":{""order_id"":""#W9389413""},""info"":null,""name"":""get_order_details""},{""action_id"":""17_5"",""arguments"":{""address1"":""123 Elm Street"",""address2"":""Suite 641"",""city"":""Austin"",""country"":""USA"",""order_id"":""#W8665881"",""state"":""TX"",""zip"":""78712""},""info"":null,""name"":""modify_pending_order_address""}],""communicate_info"":[],""nl_assertions"":null,""reward_basis"":[""DB"",""NL_ASSERTION""]}",Official outcome-based evaluation criteria; hidden from the agent.,"{""upstream_task_id"":""17""}"
2,retail-98,tau3-retail,tool_workflow,development,data/cases/retail-98.json,"{""actions"":[{""action_id"":""99_0"",""arguments"":{""item_ids"":[""5996159312""],""new_item_ids"":[""8363011723""],""order_id"":""#W4689314"",""payment_method_id"":""credit_card_8105988""},""info"":null,""name"":""exchange_delivered_order_items""},{""action_id"":""99_1"",""arguments"":{""item_ids"":[""7758198585"",""4068787148""],""new_item_ids"":[""5606522780"",""6245746168""],""order_id"":""#W3916020"",""payment_method_id"":""credit_card_8105988""},""info"":null,""name"":""exchange_delivered_order_items""},{""action_id"":""99_2"",""arguments"":{""order_id"":""#W8855135"",""reason"":""no longer needed""},""info"":null,""name"":""cancel_pending_order""}],""communicate_info"":[],""nl_assertions"":null,""reward_basis"":[""DB"",""NL_ASSERTION""]}",Official outcome-based evaluation criteria; hidden from the agent.,"{""upstream_task_id"":""98""}"
2,retail-65,tau3-retail,tool_workflow,development,data/cases/retail-65.json,"{""actions"":[{""action_id"":""65_0"",""arguments"":{""first_name"":""James"",""last_name"":""Kovacs"",""zip"":""95190""},""info"":null,""name"":""find_user_id_by_name_zip""},{""action_id"":""65_1"",""arguments"":{""user_id"":""james_kovacs_9247""},""info"":null,""name"":""get_user_details""},{""action_id"":""65_2"",""arguments"":{""order_id"":""#W5362037""},""info"":null,""name"":""get_order_details""}],""communicate_info"":[],""nl_assertions"":null,""reward_basis"":[""DB"",""NL_ASSERTION""]}",Official outcome-based evaluation criteria; hidden from the agent.,"{""upstream_task_id"":""65""}"
2,retail-50,tau3-retail,tool_workflow,development,data/cases/retail-50.json,"{""actions"":[{""action_id"":""50_0"",""arguments"":{""summary"":""The user urgently needs to undo a cancellation of an order and insists on receiving the items from the initial order as soon as possible. The user acknowledges the policy but requests exceptional measures due to the urgency of the situation.""},""compare_args"":[],""info"":null,""name"":""transfer_to_human_agents""}],""communicate_info"":[],""nl_assertions"":null,""reward_basis"":[""DB"",""NL_ASSERTION""]}",Official outcome-based evaluation criteria; hidden from the agent.,"{""upstream_task_id"":""50""}"
2,retail-29,tau3-retail,tool_workflow,development,data/cases/retail-29.json,"{""actions"":[{""action_id"":""29_0"",""arguments"":{""first_name"":""Isabella"",""last_name"":""Johansson"",""zip"":""32286""},""info"":null,""name"":""find_user_id_by_name_zip""},{""action_id"":""29_1"",""arguments"":{""user_id"":""isabella_johansson_2152""},""info"":null,""name"":""get_user_details""},{""action_id"":""29_2"",""arguments"":{""order_id"":""#W3792453""},""info"":null,""name"":""get_order_details""},{""action_id"":""29_3"",""arguments"":{""product_id"":""1968349452""},""info"":null,""name"":""get_product_details""},{""action_id"":""29_4"",""arguments"":{""item_ids"":[""4293355847""],""new_item_ids"":[""8176740019""],""order_id"":""#W3792453"",""payment_method_id"":""paypal_3024827""},""info"":null,""name"":""exchange_delivered_order_items""},{""action_id"":""29_5"",""arguments"":{""item_ids"":[""5753502325""],""new_item_ids"":[""5206946487""],""order_id"":""#W7181492"",""payment_method_id"":""paypal_3024827""},""info"":null,""name"":""exchange_delivered_order_items""}],""communicate_info"":[""180.1"",""189.57"",""208.6""],""nl_assertions"":[""Agent should tell the user the prices of the available bamboo skateboard options: $180.10, $189.57, and $208.60.""],""reward_basis"":[""DB"",""NL_ASSERTION""]}",Official outcome-based evaluation criteria; hidden from the agent.,"{""upstream_task_id"":""29""}"
2,retail-107,tau3-retail,tool_workflow,development,data/cases/retail-107.json,"{""actions"":[{""action_id"":""108_0"",""arguments"":{""item_ids"":[""1615379700""],""new_item_ids"":[""8106223139""],""order_id"":""#W1304208"",""payment_method_id"":""paypal_1679017""},""info"":null,""name"":""exchange_delivered_order_items""},{""action_id"":""108_1"",""arguments"":{""item_ids"":[""6245746168""],""new_item_ids"":[""3112842858""],""order_id"":""#W8353027"",""payment_method_id"":""paypal_1679017""},""info"":null,""name"":""exchange_delivered_order_items""}],""communicate_info"":[],""nl_assertions"":[""Agent should exchange items in both orders.""],""reward_basis"":[""DB"",""NL_ASSERTION""]}",Official outcome-based evaluation criteria; hidden from the agent.,"{""upstream_task_id"":""107""}"
2,retail-0,tau3-retail,tool_workflow,development,data/cases/retail-0.json,"{""actions"":[{""action_id"":""0_0"",""arguments"":{""first_name"":""Yusuf"",""last_name"":""Rossi"",""zip"":""19122""},""info"":null,""name"":""find_user_id_by_name_zip""},{""action_id"":""0_1"",""arguments"":{""order_id"":""#W2378156""},""info"":null,""name"":""get_order_details""},{""action_id"":""0_2"",""arguments"":{""product_id"":""1656367028""},""info"":null,""name"":""get_product_details""},{""action_id"":""0_3"",""arguments"":{""product_id"":""4896585277""},""info"":null,""name"":""get_product_details""},{""action_id"":""0_4"",""arguments"":{""item_ids"":[""1151293680"",""4983901480""],""new_item_ids"":[""7706410293"",""7747408585""],""order_id"":""#W2378156"",""payment_method_id"":""credit_card_9513926""},""info"":null,""name"":""exchange_delivered_order_items""}],""communicate_info"":[],""nl_assertions"":null,""reward_basis"":[""DB"",""NL_ASSERTION""]}",Official outcome-based evaluation criteria; hidden from the agent.,"{""upstream_task_id"":""0""}"
2,retail-45,tau3-retail,tool_workflow,development,data/cases/retail-45.json,"{""actions"":[{""action_id"":""45_0"",""arguments"":{""first_name"":""Daiki"",""last_name"":""Johnson"",""zip"":""80273""},""info"":null,""name"":""find_user_id_by_name_zip""},{""action_id"":""45_1"",""arguments"":{""order_id"":""#W9502127""},""info"":null,""name"":""get_order_details""},{""action_id"":""45_2"",""arguments"":{""product_id"":""1762337868""},""info"":null,""name"":""get_product_details""},{""action_id"":""45_3"",""arguments"":{""expression"":""652.61 - 642.72""},""info"":null,""name"":""calculate""},{""action_id"":""45_4"",""arguments"":{""item_ids"":[""6259501109""],""new_item_ids"":[""7958300294""],""order_id"":""#W9502127"",""payment_method_id"":""paypal_2433177""},""info"":null,""name"":""exchange_delivered_order_items""}],""communicate_info"":[""9.89""],""nl_assertions"":[""Agent should tell the user the price difference is $9.89.""],""reward_basis"":[""DB"",""NL_ASSERTION""]}",Official outcome-based evaluation criteria; hidden from the agent.,"{""upstream_task_id"":""45""}"
2,retail-13,tau3-retail,tool_workflow,development,data/cases/retail-13.json,"{""actions"":[{""action_id"":""13_0"",""arguments"":{""email"":""mia.garcia2723@example.com""},""info"":null,""name"":""find_user_id_by_email""},{""action_id"":""13_1"",""arguments"":{""user_id"":""mia_garcia_4516""},""info"":null,""name"":""get_user_details""},{""action_id"":""13_2"",""arguments"":{""order_id"":""#W5490111""},""info"":null,""name"":""get_order_details""},{""action_id"":""13_3"",""arguments"":{""order_id"":""#W7387996""},""info"":null,""name"":""get_order_details""},{""action_id"":""13_4"",""arguments"":{""item_ids"":[""4579334072"",""6117189161"",""4947717507""],""order_id"":""#W5490111"",""payment_method_id"":""credit_card_3124723""},""info"":null,""name"":""return_delivered_order_items""}],""communicate_info"":[],""nl_assertions"":null,""reward_basis"":[""DB"",""NL_ASSERTION""]}",Official outcome-based evaluation criteria; hidden from the agent.,"{""upstream_task_id"":""13""}"
2,retail-83,tau3-retail,tool_workflow,development,data/cases/retail-83.json,"{""actions"":[{""action_id"":""83_0"",""arguments"":{""item_ids"":[""6065192424""],""order_id"":""#W9571698"",""payment_method_id"":""gift_card_7250692""},""info"":null,""name"":""return_delivered_order_items""}],""communicate_info"":[],""nl_assertions"":null,""reward_basis"":[""DB"",""NL_ASSERTION""]}",Official outcome-based evaluation criteria; hidden from the agent.,"{""upstream_task_id"":""83""}"
